Ref,Val,Package,PosX,PosY,Rot,Side
"10p1","100n","C_01005_0402Metric",78.253000,-52.730400,0.000000,top
"10p2","100n","C_01005_0402Metric",79.589600,-59.029600,90.000000,top
"C1","100n","C_01005_0402Metric",82.926600,-53.035200,0.000000,top
"C2","100n","C_01005_0402Metric",86.461600,-62.742000,90.000000,top
"C3","100n","C_01005_0402Metric",62.564600,-47.650400,0.000000,top
"C4","100n","C_01005_0402Metric",59.588400,-52.040200,90.000000,top
"C5","10u","C_0603_1608Metric",68.732400,-66.090800,0.000000,top
"C6","10n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",71.475600,-53.186500,90.000000,top
"C7","1u","C_01005_0402Metric",62.640400,-49.682400,180.000000,top
"C8","1u","C_01005_0402Metric",79.602000,-44.099300,-90.000000,top
"C9","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",56.345900,-58.420000,0.000000,top
"C10","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",56.206300,-62.636400,0.000000,top
"C11","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",62.890400,-66.090800,0.000000,top
"D1","LED","LED_0201_0603Metric",89.499000,-64.820800,0.000000,top
"FB1","120R","L_0603_1608Metric",56.565700,-64.871600,0.000000,top
"J1","USB3_B_Micro","USB3_Micro-B_Connfly_DS1104-01",97.910800,-50.633400,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",61.620400,-29.667200,90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",76.047600,-29.616400,90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",62.585600,-74.218800,90.000000,top
"R1","10k","R_0402_1005Metric",70.000000,-40.240000,90.000000,top
"R2","1k5","R_0402_1005Metric",61.978000,-40.233600,0.000000,top
"R3","1k5","R_0402_1005Metric",80.926400,-48.310800,0.000000,top
"R4","1k5","R_0402_1005Metric",65.072800,-70.256400,0.000000,top
"R5","1k5","R_0402_1005Metric",67.868800,-70.307200,0.000000,top
"SW1","SW_SPDT","SW_E-Switch_EG1224_SPDT_Angled",57.658000,-37.110400,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",65.322000,-55.876900,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",81.889600,-64.872000,-90.000000,top
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",56.316800,-54.218100,-90.000000,top
